artistName,albumName,albumCover,releaseDate,trackNumber
beabadoobee,How Was Your Day?,https://i.scdn.co/image/ab67616d0000b27306df22f45e9aac2ad40f3ef2,2020-09-29,1
beabadoobee,Worth It,https://i.scdn.co/image/ab67616d0000b2737f783203285538435507f1dc,2020-09-09,1
beabadoobee,Sorry,https://i.scdn.co/image/ab67616d0000b2736c51b86dc858fbf5d5f6fc74,2020-08-06,2
beabadoobee,Care,https://i.scdn.co/image/ab67616d0000b273b694c6e4dd1f247401d758a8,2020-07-15,1
beabadoobee,beabadoobee - ASIA RISING FOREVER,https://i.scdn.co/image/ab67616d0000b2733fdfd1371cfa1ca6c15967ac,2020-07-01,2
Tegan-and-Sara,Still Jealous,https://i.scdn.co/image/ab67616d0000b273abd3685ac4abd01ebe8225f6,2022-02-11,14
Tegan-and-Sara,Tonight in the Dark We're Seeing Colors (Live),https://i.scdn.co/image/ab67616d0000b273fe7169eb739a98f6cf893823,2020-09-26,8
Tegan-and-Sara,Hey I'm Just like You,https://i.scdn.co/image/ab67616d0000b27359f6bdfd10f8e62e0818bdf6,2019-09-27,12
Tegan-and-Sara,Hey I'm Just like You,https://i.scdn.co/image/ab67616d0000b273ba0729a6206b0f333aa17b39,2019-09-27,12
Tegan-and-Sara,Tegan and Sara Present the Con X: Covers,https://i.scdn.co/image/ab67616d0000b2731e61e42b7e73712400e418d4,2017-10-20,17
Tegan-and-Sara,Love You to Death,https://i.scdn.co/image/ab67616d0000b273b8008ff2ed8ee219986d0363,2016-06-03,10
Tegan-and-Sara,Heartthrob,https://i.scdn.co/image/ab67616d0000b273c84d064fdb5b317c8029c2c5,2013,10
Tegan-and-Sara,Get Along,https://i.scdn.co/image/ab67616d0000b273dd458dc9f6293f390bfa1e73,2011-11-11,15
Tegan-and-Sara,Sainthood,https://i.scdn.co/image/ab67616d0000b273862d9ae8d04d2650d22a062b,2009-10-23,15
Tegan-and-Sara,Sainthood,https://i.scdn.co/image/ab67616d0000b27304111aff1bee52ceecee9916,2009-10-23,14
Tegan-and-Sara,Sainthood,https://i.scdn.co/image/ab67616d0000b27322e66fc444d17b2e8ccd20c6,2009-10-23,13
Tegan-and-Sara,The Con,https://i.scdn.co/image/ab67616d0000b273377453abefeab743c5633fcc,2007-07-24,14
Tegan-and-Sara,The Con Demos,https://i.scdn.co/image/ab67616d0000b273e18ae8ef8833255fd1982554,2007-07-24,14
Tegan-and-Sara,So Jealous,https://i.scdn.co/image/ab67616d0000b273d424a2675b400a7d2dac48b9,2004-09-14,14
Tegan-and-Sara,If It Was You,https://i.scdn.co/image/ab67616d0000b27380250639216c316cc027edaa,2002-01-01,12
Tegan-and-Sara,If It Was You,https://i.scdn.co/image/ab67616d0000b273b301f57faf317484b308daa8,2002,12
Tegan-and-Sara,This Business Of Art,https://i.scdn.co/image/ab67616d0000b2735ac9ae830bdb64786b6718dd,2000-01-01,11
Tegan-and-Sara,This Business of Art,https://i.scdn.co/image/ab67616d0000b273807b19d747506c7bc8a274dc,2000,11
Tegan-and-Sara,Under Feet Like Ours,https://i.scdn.co/image/ab67616d0000b273f1f8b8db9f2f4f22ad773ece,1999-04-06,13
Tegan-and-Sara,F*****g Up What Matters,https://i.scdn.co/image/ab67616d0000b2736bb2032f511db416a7360a80,2022-04-28,1
Raphaella,Need U - Spotify Singles,https://i.scdn.co/image/ab67616d0000b27337565bb64d84d66b8924a88f,2022-04-29,1
Raphaella,Love Me or Lie,https://i.scdn.co/image/ab67616d0000b273d8fd39758de28afc274fba18,2022-03-18,1
Raphaella,Up All Night,https://i.scdn.co/image/ab67616d0000b273984da0f88b106484456ed7b7,2021-08-20,1
Raphaella,Running (Shorter Edit),https://i.scdn.co/image/ab67616d0000b2730898fb96b16bd9dba7e7225a,2021-04-23,1
Raphaella,Lies,https://i.scdn.co/image/ab67616d0000b273ed415757349f1eef90002079,2021-01-29,1
Raphaella,Lies,https://i.scdn.co/image/ab67616d0000b273569e76d4a48ec5b2cedf051e,2021-01-29,1
Raphaella,By Your Side,https://i.scdn.co/image/ab67616d0000b27370bef918a513d36c8370fb99,2020-09-11,1
Raphaella,Keep This Fire Burning,https://i.scdn.co/image/ab67616d0000b2737bc15d6333578d6765d8d8a2,2020-07-17,1
Raphaella,Keep This Fire Burning,https://i.scdn.co/image/ab67616d0000b27371289090ced9917ea770bedb,2020-07-17,1
Raphaella,Real,https://i.scdn.co/image/ab67616d0000b2734daf85711685a60288794a34,2020-05-01,4
Raphaella,Closure,https://i.scdn.co/image/ab67616d0000b27336cc53a71ce08e3acb5b63ed,2020-04-17,1
Raphaella,Hold On [UKF10],https://i.scdn.co/image/ab67616d0000b273feef55e784d39c7696610fa2,2019-11-29,1
Raphaella,Loving Myself (feat. Raphaella),https://i.scdn.co/image/ab67616d0000b27355e8b5378aa5cce02f5d60e8,2019-11-29,1
Raphaella,More (Club Mix),https://i.scdn.co/image/ab67616d0000b27398d8b7c778953df8120b1ebc,2019-09-03,2
Raphaella,More,https://i.scdn.co/image/ab67616d0000b27327857920610a766665702068,2019-08-19,1
Raphaella,I Don't Wanna,https://i.scdn.co/image/ab67616d0000b273db559ccc3c5df94a855e35b7,2019-07-26,2
Raphaella,I Lied,https://i.scdn.co/image/ab67616d0000b273f46e65c816ce3d1e9544f091,2019-07-19,1
Raphaella,Happy,https://i.scdn.co/image/ab67616d0000b2738f3db402f2c377726be6e13b,2019-05-31,1
Raphaella,Good Life,https://i.scdn.co/image/ab67616d0000b273f7b92d516b2ef07a6e85a478,2018-05-25,1
Raphaella,Imagine,https://i.scdn.co/image/ab67616d0000b2739a64840519ce185595d9eb28,2018-05-25,4
Giveon,When It's All Said And Done... Take Time,https://i.scdn.co/image/ab67616d0000b27395b3744a4e137e68051cf809,2021-03-12,13
Giveon,TAKE TIME,https://i.scdn.co/image/ab67616d0000b27318ff322fcdd47c9400872da6,2020-03-27,8
Giveon,TAKE TIME,https://i.scdn.co/image/ab67616d0000b27339223d372296b217741e86db,2020-03-27,8
Giveon,Lie Again,https://i.scdn.co/image/ab67616d0000b273a13cde8fb415782c310bea06,2022-04-29,1
Giveon,For Tonight,https://i.scdn.co/image/ab67616d0000b2739b93bd3173fd6d51ac4dcca2,2021-09-24,1
Giveon,When It's All Said And Done,https://i.scdn.co/image/ab67616d0000b273c1968cb5cd60558e0ca42b4b,2020-10-02,4
Giveon,When It's All Said And Done,https://i.scdn.co/image/ab67616d0000b273a572ad894dc0d486ed04913f,2020-10-01,4
Giveon,Stuck On You,https://i.scdn.co/image/ab67616d0000b273f04a956d274e0ac4f7842fe4,2020-09-30,1
Giveon,Spotify Singles,https://i.scdn.co/image/ab67616d0000b2730043fb835eab4610758979a3,2020-08-28,2
Giveon,Heartbreak Anniversary,https://i.scdn.co/image/ab67616d0000b273b0d2119e477ebbb543f19ed7,2020-02-21,1
Giveon,Like I Want You,https://i.scdn.co/image/ab67616d0000b273511f899c5dbf0ea2c951c8e0,2019-11-21,1
Giveon,Fields,https://i.scdn.co/image/ab67616d0000b27340f85a18e344fe7b240819af,2018-10-17,1
Giveon,Garden Kisses,https://i.scdn.co/image/ab67616d0000b27336e776cd48dad1d9d89fc943,2018-08-08,1
